"resource","config","cores","id","metric","value"
"Anvil","v2206, 48",48,10,"mashing",168.838120791
"Anvil","v2206, 48",48,4,"mashing",158.295945635
"Anvil","v2206, 128",128,2,"mashing",192.723936302
"Anvil","v2206, 128",128,8,"mashing",207.128480993
"Anvil","v2206, 128",128,3,"mashing",226.813048125
"Anvil","v2206, 128",128,1,"mashing",214.403138801
"Anvil","v2206, 128",128,5,"mashing",188.306408723
"Anvil","v2206, 128",128,7,"mashing",246.787320375
"Anvil","v2206, 128",128,6,"mashing",212.874590833
"Anvil","v2206, 128",128,9,"mashing",197.674514213
"Anvil","v2206, 128",128,4,"mashing",214.296498543
"Expanse","v2206, 48",48,2,"mashing",270.085518992
"Expanse","v2206, 48",48,8,"mashing",240.932311227
"Expanse","v2206, 48",48,3,"mashing",239.354539146
"Expanse","v2206, 48",48,1,"mashing",277.342766524
"Expanse","v2206, 48",48,5,"mashing",245.052322558
"Expanse","v2206, 48",48,7,"mashing",272.32523218
"Expanse","v2206, 48",48,6,"mashing",262.472938571
"Expanse","v2206, 48",48,9,"mashing",321.847123094
"Expanse","v2206, 48",48,10,"mashing",283.796797525
"Expanse","v2206, 48",48,4,"mashing",212.43033198
"Expanse","v2206, 128",128,2,"mashing",429.297480937
"Expanse","v2206, 128",128,8,"mashing",449.549827168
"Expanse","v2206, 128",128,3,"mashing",370.416032426
"Expanse","v2206, 128",128,1,"mashing",413.299399856
"Expanse","v2206, 128",128,5,"mashing",433.092424785
"Expanse","v2206, 128",128,7,"mashing",444.866797674
"Expanse","v2206, 128",128,6,"mashing",389.382118833
"Expanse","v2206, 128",128,9,"mashing",398.291786389
"Expanse","v2206, 128",128,10,"mashing",370.262676638
"Expanse","v2206, 128",128,4,"mashing",405.620047975
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,2,"solver",657.235724734
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,8,"solver",638.101178764
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,3,"solver",639.875388073
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,1,"solver",650.377250201
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,5,"solver",651.793122157
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,7,"solver",645.770776832
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,6,"solver",657.264024991
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,9,"solver",638.812044631
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,10,"solver",688.748619462
