t,"Power, W"
1671060781,107
1671060841,107
1671060901,107
1671060961,107
1671061021,107
1671061081,107
1671061141,107
1671061201,107
1671061261,107
1671061321,107
1671061381,107
1671061441,107
1671061501,107
1671061561,107
1671061621,107
1671061681,107
1671061741,107
1671061801,107
1671061861,107
1671061921,107
1671061981,107
1671062041,107
1671062101,107
